,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"8. Situación de tenencia de la vivienda del hogar, según comuna.",,,,,,,,,,,,,,,,
Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Hogares censados,Propia pagada,Propia pagándose,Arrendada con contrato,Arrendada sin contrato,Cedida por trabajo o servicio,Cedida por familiar u otro,Usufructo: solo uso y goce,Ocupada de hecho,Propiedad en sucesión y litigio,Tenencia de la vivienda no declarada
4,Coquimbo,41,Elqui,4101,La Serena,86.442,37.548,16.984,18.271,4.722,624,6.073,691,491,1.020,18
4,Coquimbo,41,Elqui,4102,Coquimbo,89.924,42.435,16.946,14.513,6.169,736,6.825,738,678,869,15
4,Coquimbo,41,Elqui,4103,Andacollo,4.064,3.042,47,163,191,25,458,24,24,90,0
4,Coquimbo,41,Elqui,4104,La Higuera,1.626,1.229,15,45,82,36,143,28,30,18,0
4,Coquimbo,41,Elqui,4105,Paiguano,1.862,1.128,30,125,174,123,225,10,6,41,0
4,Coquimbo,41,Elqui,4106,Vicuña,9.817,6.353,287,860,674,190,1.135,91,43,183,1
4,Coquimbo,42,Choapa,4201,Illapel,11.573,7.620,353,1.213,777,119,1.030,185,61,215,0
4,Coquimbo,42,Choapa,4202,Canela,3.778,3.010,21,99,200,44,280,30,22,72,0
4,Coquimbo,42,Choapa,4203,Los Vilos,8.514,5.393,259,688,808,206,915,53,63,129,0
4,Coquimbo,42,Choapa,4204,Salamanca,10.035,6.910,239,783,682,95,926,82,80,238,0
4,Coquimbo,43,Limarí,4301,Ovalle,42.131,23.799,4.304,4.575,3.589,730,4.126,322,169,510,7
4,Coquimbo,43,Limarí,4302,Combarbalá,5.250,3.564,47,323,358,98,580,48,41,191,0
4,Coquimbo,43,Limarí,4303,Monte Patria,11.210,7.405,60,347,897,330,1.688,57,92,332,2
4,Coquimbo,43,Limarí,4304,Punitaqui,4.461,3.076,58,236,287,81,574,20,46,83,0
4,Coquimbo,43,Limarí,4305,Río Hurtado,1.880,1.303,11,64,123,40,199,25,5,110,0
5,Valparaíso,51,Valparaíso,5101,Valparaíso,108.777,44.214,12.663,25.776,7.859,773,11.605,1.202,1.603,3.064,18
5,Valparaíso,51,Valparaíso,5102,Casablanca,10.564,5.662,1.185,1.099,931,451,992,90,33,120,1
5,Valparaíso,51,Valparaíso,5103,Concón,18.217,6.891,3.211,5.319,936,101,1.315,211,78,150,5
5,Valparaíso,51,Valparaíso,5104,Juan Fernández,374,227,5,22,58,25,28,3,4,2,0
5,Valparaíso,51,Valparaíso,5105,Puchuncaví,8.480,5.142,430,910,598,178,997,78,42,105,0
5,Valparaíso,51,Valparaíso,5107,Quintero,13.028,6.375,1.332,1.522,1.238,330,1.500,166,307,254,4
5,Valparaíso,51,Valparaíso,5109,Viña del Mar,131.821,54.864,15.069,36.225,6.186,1.386,11.917,1.483,2.464,2.193,34
5,Valparaíso,52,Isla de Pascua,5201,Isla de Pascua,2.069,1.206,11,430,224,84,85,17,4,7,1
5,Valparaíso,53,Los Andes,5301,Los Andes,23.060,10.462,4.149,4.974,1.420,232,1.300,142,62,315,4
5,Valparaíso,53,Los Andes,5302,Calle Larga,5.766,2.943,1.092,644,300,133,528,33,17,76,0
5,Valparaíso,53,Los Andes,5303,Rinconada,4.043,2.438,542,366,192,91,325,25,10,54,0
5,Valparaíso,53,Los Andes,5304,San Esteban,7.127,3.921,997,786,427,155,680,34,32,94,1
5,Valparaíso,54,Petorca,5401,La Ligua,14.286,9.330,793,1.357,853,136,1.336,182,93,205,1
5,Valparaíso,54,Petorca,5402,Cabildo,6.777,4.652,154,465,501,83,746,75,23,78,0
5,Valparaíso,54,Petorca,5403,Papudo,2.713,1.788,112,232,195,59,282,3,4,38,0
5,Valparaíso,54,Petorca,5404,Petorca,3.817,2.745,50,195,277,45,303,44,38,120,0
5,Valparaíso,54,Petorca,5405,Zapallar,2.811,1.696,232,250,118,91,332,20,12,60,0
5,Valparaíso,55,Quillota,5501,Quillota,33.740,15.645,6.097,5.833,2.024,484,2.616,328,81,622,10
5,Valparaíso,55,Quillota,5502,Calera,17.419,9.302,1.642,2.225,1.383,138,1.975,160,77,516,1
5,Valparaíso,55,Quillota,5503,Hijuelas,6.680,4.162,368,413,381,185,898,49,26,197,1
5,Valparaíso,55,Quillota,5504,La Cruz,8.580,3.029,2.812,1.269,390,195,661,43,13,168,0
5,Valparaíso,55,Quillota,5506,Nogales,7.525,4.787,210,520,535,148,1.054,97,49,125,0
5,Valparaíso,56,San Antonio,5601,San Antonio,34.743,20.672,2.617,3.674,1.931,373,3.137,409,1.021,905,4
5,Valparaíso,56,San Antonio,5602,Algarrobo,6.430,3.523,644,842,328,190,712,94,21,74,2
5,Valparaíso,56,San Antonio,5603,Cartagena,9.267,5.334,407,689,660,246,1.093,136,356,343,3
5,Valparaíso,56,San Antonio,5604,El Quisco,7.696,4.070,427,980,645,202,1.045,111,81,134,1
5,Valparaíso,56,San Antonio,5605,El Tabo,6.765,4.167,332,555,412,188,793,104,77,137,0
5,Valparaíso,56,San Antonio,5606,Santo Domingo,4.661,2.704,644,462,114,188,456,39,8,46,0
5,Valparaíso,57,San Felipe de Aconcagua,5701,San Felipe,29.530,13.072,4.576,5.411,3.027,360,2.168,209,358,345,4
5,Valparaíso,57,San Felipe de Aconcagua,5702,Catemu,4.923,3.553,76,304,337,96,448,34,37,37,1
5,Valparaíso,57,San Felipe de Aconcagua,5703,Llaillay,8.913,5.697,476,752,782,148,815,48,31,164,0
5,Valparaíso,57,San Felipe de Aconcagua,5704,Panquehue,2.441,1.608,92,152,131,112,292,25,7,22,0
5,Valparaíso,57,San Felipe de Aconcagua,5705,Putaendo,6.037,3.902,252,432,296,84,661,64,51,293,2
5,Valparaíso,57,San Felipe de Aconcagua,5706,Santa María,5.360,3.594,207,350,345,152,481,28,20,182,1
5,Valparaíso,58,Marga Marga,5801,Quilpué,59.451,27.905,9.350,12.161,2.594,352,4.748,616,746,966,13
5,Valparaíso,58,Marga Marga,5802,Limache,19.778,10.296,3.055,2.660,888,291,1.849,231,141,360,7
5,Valparaíso,58,Marga Marga,5803,Olmué,7.449,4.840,349,461,334,199,859,113,43,249,2
5,Valparaíso,58,Marga Marga,5804,Villa Alemana,49.954,23.106,10.831,8.815,2.096,230,3.337,466,469,596,8
13,Metropolitana de Santiago,131,Santiago,13101,Santiago,206.458,23.382,24.129,128.720,20.059,1.384,6.587,868,308,941,80
13,Metropolitana de Santiago,131,Santiago,13102,Cerrillos,28.186,12.593,5.066,3.910,2.376,147,2.431,506,654,443,60
13,Metropolitana de Santiago,131,Santiago,13103,Cerro Navia,41.864,20.888,1.611,5.067,5.388,230,6.690,600,406,967,17
13,Metropolitana de Santiago,131,Santiago,13104,Conchalí,40.727,16.430,3.569,7.961,4.845,526,4.592,518,239,2.043,4
13,Metropolitana de Santiago,131,Santiago,13105,El Bosque,50.233,25.613,3.587,6.598,5.242,382,5.966,609,313,1.919,4
13,Metropolitana de Santiago,131,Santiago,13106,Estación Central,67.722,16.003,5.711,33.104,6.971,441,3.690,406,207,1.179,10
13,Metropolitana de Santiago,131,Santiago,13107,Huechuraba,31.965,11.712,8.830,4.989,1.915,152,3.050,373,565,372,7
13,Metropolitana de Santiago,131,Santiago,13108,Independencia,45.411,7.760,3.858,24.080,5.861,283,2.099,201,89,1.177,3
13,Metropolitana de Santiago,131,Santiago,13109,La Cisterna,38.042,10.808,5.906,14.138,2.690,214,2.590,272,108,1.313,3
13,Metropolitana de Santiago,131,Santiago,13110,La Florida,133.631,55.808,25.521,31.568,8.225,489,8.707,1.356,685,1.251,21
13,Metropolitana de Santiago,131,Santiago,13111,La Granja,37.118,17.671,3.043,4.943,4.208,229,5.059,503,264,1.193,5
13,Metropolitana de Santiago,131,Santiago,13112,La Pintana,53.951,33.419,3.780,4.358,5.502,376,4.959,710,399,437,11
13,Metropolitana de Santiago,131,Santiago,13113,La Reina,30.574,11.991,7.263,7.154,1.064,518,1.876,263,43,397,5
13,Metropolitana de Santiago,131,Santiago,13114,Las Condes,116.176,37.999,24.104,44.963,2.436,935,4.304,768,91,525,51
13,Metropolitana de Santiago,131,Santiago,13115,Lo Barnechea,32.458,12.570,9.965,6.535,970,385,1.273,281,219,246,14
13,Metropolitana de Santiago,131,Santiago,13116,Lo Espejo,27.387,13.358,1.491,2.398,3.225,179,4.603,499,351,1.282,1
13,Metropolitana de Santiago,131,Santiago,13117,Lo Prado,31.862,14.474,1.953,5.786,4.426,122,3.395,494,116,1.091,5
13,Metropolitana de Santiago,131,Santiago,13118,Macul,47.555,14.619,9.214,15.804,2.923,229,3.439,395,120,804,8
13,Metropolitana de Santiago,131,Santiago,13119,Maipú,167.383,79.880,39.463,27.099,9.088,588,7.805,1.318,1.037,1.080,25
13,Metropolitana de Santiago,131,Santiago,13120,Ñuñoa,108.555,24.529,27.675,45.706,3.879,272,4.628,764,115,963,24
13,Metropolitana de Santiago,131,Santiago,13121,Pedro Aguirre Cerda,32.328,14.162,2.395,4.472,3.913,204,4.300,561,189,2.124,8
13,Metropolitana de Santiago,131,Santiago,13122,Peñalolén,76.078,33.407,13.325,11.690,7.129,397,7.354,1.267,341,1.153,15
13,Metropolitana de Santiago,131,Santiago,13123,Providencia,69.157,16.684,12.923,32.711,2.654,492,2.814,471,45,346,17
13,Metropolitana de Santiago,131,Santiago,13124,Pudahuel,74.144,33.794,15.141,10.707,6.473,502,5.405,891,389,828,14
13,Metropolitana de Santiago,131,Santiago,13125,Quilicura,65.059,26.287,18.426,12.248,4.683,259,2.183,532,283,151,7
13,Metropolitana de Santiago,131,Santiago,13126,Quinta Normal,45.700,11.816,5.483,15.495,5.312,397,4.346,400,266,2.178,7
13,Metropolitana de Santiago,131,Santiago,13127,Recoleta,55.579,17.785,4.656,13.595,10.463,427,6.024,595,272,1.753,9
13,Metropolitana de Santiago,131,Santiago,13128,Renca,46.397,22.062,7.071,6.414,4.610,241,4.493,448,252,798,8
13,Metropolitana de Santiago,131,Santiago,13129,San Joaquín,33.461,12.363,3.611,7.496,3.526,210,3.963,428,144,1.717,3
13,Metropolitana de Santiago,131,Santiago,13130,San Miguel,60.243,10.730,13.937,28.444,2.834,222,2.592,361,81,1.034,8
13,Metropolitana de Santiago,131,Santiago,13131,San Ramón,24.963,12.220,1.085,2.966,2.805,173,4.183,522,145,858,6
13,Metropolitana de Santiago,131,Santiago,13132,Vitacura,31.114,11.982,7.274,10.222,405,120,742,242,12,107,8
13,Metropolitana de Santiago,132,Cordillera,13201,Puente Alto,182.855,88.026,45.607,23.059,11.344,744,9.318,1.485,1.950,1.301,21
13,Metropolitana de Santiago,132,Cordillera,13202,Pirque,9.183,5.510,1.000,722,410,315,1.071,55,29,70,1
13,Metropolitana de Santiago,132,Cordillera,13203,San José de Maipo,6.368,3.169,418,740,409,342,896,111,124,159,0
13,Metropolitana de Santiago,133,Chacabuco,13301,Colina,50.926,21.342,15.402,6.353,3.968,467,2.483,199,463,235,14
13,Metropolitana de Santiago,133,Chacabuco,13302,Lampa,45.445,17.637,14.625,4.904,3.355,554,2.773,651,717,220,9
13,Metropolitana de Santiago,133,Chacabuco,13303,Tiltil,6.585,3.704,675,527,496,206,758,80,43,96,0
13,Metropolitana de Santiago,134,Maipo,13401,San Bernardo,98.580,44.110,20.898,12.905,9.187,1.034,7.698,883,602,1.247,16
13,Metropolitana de Santiago,134,Maipo,13402,Buin,37.620,14.912,11.769,4.590,1.805,465,2.968,387,305,413,6
13,Metropolitana de Santiago,134,Maipo,13403,Calera de Tango,7.852,4.552,797,647,509,273,945,67,20,41,1
13,Metropolitana de Santiago,134,Maipo,13404,Paine,25.871,14.360,2.371,2.392,2.201,769,3.140,147,105,384,2
13,Metropolitana de Santiago,135,Melipilla,13501,Melipilla,46.457,27.252,3.587,5.589,4.144,888,3.683,289,186,834,5
13,Metropolitana de Santiago,135,Melipilla,13502,Alhué,2.770,1.873,24,144,369,54,228,11,14,53,0
13,Metropolitana de Santiago,135,Melipilla,13503,Curacaví,12.001,7.133,1.140,1.127,653,270,1.330,120,51,174,3
13,Metropolitana de Santiago,135,Melipilla,13504,María Pinto,5.247,3.795,176,223,229,176,526,53,21,46,2
13,Metropolitana de Santiago,135,Melipilla,13505,San Pedro,3.973,2.741,47,127,502,199,293,19,12,31,2
13,Metropolitana de Santiago,136,Talagante,13601,Talagante,24.425,12.391,4.026,3.212,1.573,344,2.109,301,277,188,4
13,Metropolitana de Santiago,136,Talagante,13602,El Monte,12.141,7.291,859,1.090,991,208,1.283,106,61,252,0
13,Metropolitana de Santiago,136,Talagante,13603,Isla de Maipo,12.989,7.641,1.376,1.171,782,234,1.422,83,58,222,0
13,Metropolitana de Santiago,136,Talagante,13604,Padre Hurtado,26.139,9.375,9.193,2.758,1.860,212,2.209,141,78,309,4
13,Metropolitana de Santiago,136,Talagante,13605,Peñaflor,30.713,13.374,7.607,4.001,1.924,309,2.564,334,115,478,7
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6101,Rancagua,92.398,39.947,16.817,19.635,7.383,698,5.153,816,498,1.424,27
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6102,Codegua,4.654,3.013,165,270,312,251,546,12,13,72,0
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6103,Coinco,2.795,1.823,74,159,151,41,356,65,27,98,1
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6104,Coltauco,7.549,5.137,180,429,498,189,871,32,42,171,0
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6105,Doñihue,7.699,4.516,366,830,693,112,799,70,33,277,3
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6106,Graneros,12.105,6.214,2.036,1.322,1.286,162,867,89,28,101,0
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6107,Las Cabras,9.823,6.401,177,682,864,467,1.027,70,23,112,0
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6108,Machalí,20.475,7.344,7.036,3.270,917,160,1.197,125,130,294,2
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6109,Malloa,4.932,3.364,69,228,258,170,585,58,38,162,0
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6110,Mostazal,9.111,5.694,309,688,718,236,1.068,158,71,169,0
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6111,Olivar,4.708,2.653,330,333,459,166,602,56,18,91,0
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6112,Peumo,4.864,3.105,297,358,269,152,519,30,10,124,0
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6113,Pichidegua,7.248,5.252,70,330,381,127,795,50,27,216,0
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6114,Quinta de Tilcoco,4.856,3.329,57,340,369,69,601,28,16,47,0
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6115,Rengo,22.338,11.994,3.230,2.618,1.582,414,1.733,159,228,380,0
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6116,Requínoa,9.833,6.285,612,627,742,307,993,134,34,97,2
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6117,San Vicente,17.837,10.460,1.059,2.067,1.173,405,1.740,158,86,688,1
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6201,Pichilemu,7.738,4.111,373,1.187,681,180,859,67,20,258,2
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6202,La Estrella,1.812,1.225,40,84,73,135,158,14,4,79,0
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6203,Litueche,3.408,2.345,60,244,250,101,325,13,9,61,0
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6204,Marchihue,3.304,2.357,48,208,184,117,304,23,3,60,0
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6205,Navidad,3.674,2.482,62,247,274,57,362,69,29,92,0
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6206,Paredones,2.857,2.009,29,93,145,49,322,8,2,200,0
6,Libertador General Bernardo O'Higgins,63,Colchagua,6301,San Fernando,27.300,13.913,3.875,4.361,1.726,436,1.793,335,213,646,2
6,Libertador General Bernardo O'Higgins,63,Colchagua,6302,Chépica,5.531,4.168,34,309,226,103,508,23,28,132,0
6,Libertador General Bernardo O'Higgins,63,Colchagua,6303,Chimbarongo,13.277,8.641,586,808,787,361,1.400,102,114,478,0
6,Libertador General Bernardo O'Higgins,63,Colchagua,6304,Lolol,2.897,2.031,26,152,168,85,278,48,14,95,0
6,Libertador General Bernardo O'Higgins,63,Colchagua,6305,Nancagua,6.517,4.367,243,550,453,138,453,46,71,196,0
6,Libertador General Bernardo O'Higgins,63,Colchagua,6306,Palmilla,4.453,3.387,66,209,163,75,390,31,51,81,0
6,Libertador General Bernardo O'Higgins,63,Colchagua,6307,Peralillo,4.485,3.144,122,348,282,104,317,62,9,96,1
6,Libertador General Bernardo O'Higgins,63,Colchagua,6308,Placilla,3.287,2.115,39,167,190,132,408,61,33,142,0
6,Libertador General Bernardo O'Higgins,63,Colchagua,6309,Pumanque,1.777,1.262,28,51,52,75,194,19,0,96,0
6,Libertador General Bernardo O'Higgins,63,Colchagua,6310,Santa Cruz,14.830,8.900,1.086,2.174,792,192,1.218,91,47,330,0
7,Maule,71,Talca,7101,Talca,84.927,40.535,15.682,15.193,5.766,552,4.676,592,217,1.710,4
7,Maule,71,Talca,7102,Constitución,17.554,10.910,970,2.015,1.304,281,1.389,130,135,419,1
7,Maule,71,Talca,7103,Curepto,3.788,2.707,24,164,165,96,386,14,5,227,0
7,Maule,71,Talca,7104,Empedrado,1.463,1.007,11,82,147,32,139,7,3,35,0
7,Maule,71,Talca,7105,Maule,20.399,9.469,5.644,2.265,1.220,229,1.257,73,79,160,3
7,Maule,71,Talca,7106,Pelarco,3.247,2.311,62,103,125,138,365,30,21,92,0
7,Maule,71,Talca,7107,Pencahue,3.421,2.382,111,112,190,160,268,29,6,163,0
7,Maule,71,Talca,7108,Río Claro,5.130,3.756,54,168,227,204,571,34,20,93,3
7,Maule,71,Talca,7109,San Clemente,16.654,11.531,627,889,880,461,1.652,133,65,414,2
7,Maule,71,Talca,7110,San Rafael,3.923,2.861,80,135,196,115,404,19,19,94,0
7,Maule,72,Cauquenes,7201,Cauquenes,16.190,10.653,862,1.506,1.024,261,1.036,129,50,665,4
7,Maule,72,Cauquenes,7202,Chanco,3.485,2.541,26,132,209,88,323,22,6,138,0
7,Maule,72,Cauquenes,7203,Pelluhue,3.484,2.486,35,212,288,50,312,31,10,58,2
7,Maule,73,Curicó,7301,Curicó,57.321,28.775,9.852,8.672,3.958,761,3.805,405,239,847,7
7,Maule,73,Curicó,7302,Hualañé,4.066,2.771,36,331,262,66,388,19,10,183,0
7,Maule,73,Curicó,7303,Licantén,2.666,1.699,39,188,264,45,208,27,22,174,0
7,Maule,73,Curicó,7304,Molina,17.300,10.929,1.349,1.505,1.251,424,1.432,77,52,280,1
7,Maule,73,Curicó,7305,Rauco,4.072,2.721,122,252,196,130,397,19,27,208,0
7,Maule,73,Curicó,7306,Romeral,6.113,3.859,474,322,372,342,612,30,10,92,0
7,Maule,73,Curicó,7307,Sagrada Familia,6.730,4.797,86,244,377,290,735,8,26,166,1
7,Maule,73,Curicó,7308,Teno,10.735,7.450,336,557,506,372,1.110,59,85,260,0
7,Maule,73,Curicó,7309,Vichuquén,1.892,1.247,15,81,146,111,141,6,12,133,0
7,Maule,74,Linares,7401,Linares,35.110,19.983,4.239,4.722,1.940,411,2.600,398,128,685,4
7,Maule,74,Linares,7402,Colbún,8.220,5.934,207,454,412,147,707,121,38,200,0
7,Maule,74,Linares,7403,Longaví,11.995,9.126,113,417,571,259,1.114,176,50,168,1
7,Maule,74,Linares,7404,Parral,17.034,11.227,1.123,1.452,1.103,305,1.244,190,49,341,0
7,Maule,74,Linares,7405,Retiro,8.218,6.209,84,293,331,258,784,77,22,160,0
7,Maule,74,Linares,7406,San Javier,18.058,11.740,1.729,1.454,877,341,1.307,93,52,463,2
7,Maule,74,Linares,7407,Villa Alegre,6.674,4.617,330,320,335,181,550,52,30,259,0
7,Maule,74,Linares,7408,Yerbas Buenas,7.095,5.296,68,244,328,139,690,93,60,175,2
16,Ñuble,161,Diguillín,16101,Chillán,70.003,35.656,10.905,11.679,4.163,618,4.685,692,192,1.408,5
16,Ñuble,161,Diguillín,16102,Bulnes,8.771,5.877,424,586,445,248,779,79,73,259,1
16,Ñuble,161,Diguillín,16103,Chillán Viejo,11.738,6.514,1.418,1.551,805,133,976,127,38,175,1
16,Ñuble,161,Diguillín,16104,El Carmen,5.008,3.490,38,210,293,154,541,109,14,158,1
16,Ñuble,161,Diguillín,16105,Pemuco,3.243,2.315,37,141,181,80,369,29,15,75,1
16,Ñuble,161,Diguillín,16106,Pinto,4.774,3.183,58,324,313,255,544,24,22,51,0
16,Ñuble,161,Diguillín,16107,Quillón,7.523,5.156,132,514,418,277,819,67,36,104,0
16,Ñuble,161,Diguillín,16108,San Ignacio,6.620,4.572,57,316,385,168,853,48,20,201,0
16,Ñuble,161,Diguillín,16109,Yungay,7.309,4.688,212,570,581,163,737,99,40,219,0
16,Ñuble,162,Itata,16201,Quirihue,4.642,3.236,55,398,322,43,369,33,24,162,0
16,Ñuble,162,Itata,16202,Cobquecura,2.305,1.703,23,108,140,36,189,31,12,63,0
16,Ñuble,162,Itata,16203,Coelemu,5.638,3.550,83,471,413,76,653,132,50,210,0
16,Ñuble,162,Itata,16204,Ninhue,2.308,1.827,20,63,87,25,225,11,7,43,0
16,Ñuble,162,Itata,16205,Portezuelo,2.045,1.589,11,51,75,39,215,6,22,37,0
16,Ñuble,162,Itata,16206,Ránquil,2.615,1.907,34,103,97,47,286,41,14,86,0
16,Ñuble,162,Itata,16207,Trehuaco,2.336,1.778,18,130,118,26,186,12,8,60,0
16,Ñuble,163,Punilla,16301,San Carlos,20.672,13.815,1.011,1.751,1.173,342,1.895,173,78,431,3
16,Ñuble,163,Punilla,16302,Coihueco,10.468,7.323,251,459,620,344,1.168,77,39,187,0
16,Ñuble,163,Punilla,16303,Ñiquén,4.920,3.713,29,206,131,165,474,44,25,133,0
16,Ñuble,163,Punilla,16304,San Fabián,2.022,1.383,16,158,145,58,197,25,12,28,0
16,Ñuble,163,Punilla,16305,San Nicolás,5.442,3.981,95,273,243,148,501,60,34,105,2
8,Biobío,81,Concepción,8101,Concepción,91.718,31.585,14.609,27.207,6.969,605,7.080,836,564,2.257,6
8,Biobío,81,Concepción,8102,Coronel,41.885,24.706,7.147,3.568,2.340,201,2.530,334,621,437,1
8,Biobío,81,Concepción,8103,Chiguayante,29.370,14.781,5.726,3.808,1.373,100,2.371,268,183,756,4
8,Biobío,81,Concepción,8104,Florida,4.952,3.577,93,256,265,180,466,30,13,72,0
8,Biobío,81,Concepción,8105,Hualqui,8.815,5.633,609,649,554,121,872,79,69,228,1
8,Biobío,81,Concepción,8106,Lota,13.805,10.293,137,590,780,44,1.380,191,227,163,0
8,Biobío,81,Concepción,8107,Penco,16.829,9.742,1.533,1.547,1.034,76,1.959,138,111,689,0
8,Biobío,81,Concepción,8108,San Pedro de La paz,52.274,22.292,14.671,8.875,2.488,233,2.670,339,305,399,2
8,Biobío,81,Concepción,8109,Santa Juana,5.602,4.223,141,329,278,66,408,15,17,124,1
8,Biobío,81,Concepción,8110,Talcahuano,50.931,25.223,8.424,6.687,2.999,639,4.246,642,528,1.540,3
8,Biobío,81,Concepción,8111,Tomé,20.717,13.995,718,1.724,1.206,150,2.073,238,144,468,1
8,Biobío,81,Concepción,8112,Hualpén,30.590,14.645,5.986,4.539,1.783,144,2.493,232,126,638,4
8,Biobío,82,Arauco,8201,Lebu,8.777,6.630,117,461,607,94,627,78,58,105,0
8,Biobío,82,Arauco,8202,Arauco,13.185,9.323,556,813,795,260,990,92,117,239,0
8,Biobío,82,Arauco,8203,Cañete,12.530,9.216,218,848,754,121,923,73,74,302,1
8,Biobío,82,Arauco,8204,Contulmo,2.288,1.629,26,117,157,41,237,9,9,63,0
